,type,heuristic,runtime,number of splits,number of backtracks,number of simplifications,solution
0,9x9,0,3.451390504837036,0,3,15,"[112, 125, 138, 143, 156, 167, 179, 184, 191, 217, 223, 236, 249, 251, 264, 278, 285, 292, 319, 321, 334, 348, 352, 365, 373, 386, 397, 415, 429, 432, 446, 457, 463, 471, 488, 494, 514, 526, 537, 542, 558, 561, 575, 583, 599, 611, 628, 633, 645, 654, 669, 677, 682, 696, 716, 722, 735, 741, 759, 768, 774, 787, 793, 813, 827, 839, 844, 855, 862, 876, 881, 898, 918, 924, 931, 947, 953, 966, 972, 989, 995]"
1,9x9,0,3.1465256214141846,0,3,19,"[112, 125, 133, 148, 156, 167, 174, 189, 191, 219, 226, 237, 243, 251, 264, 278, 285, 292, 314, 321, 338, 345, 352, 369, 373, 386, 397, 417, 424, 431, 446, 453, 462, 479, 488, 495, 515, 529, 536, 547, 558, 561, 572, 583, 594, 613, 628, 632, 649, 654, 665, 677, 681, 696, 716, 722, 734, 741, 759, 768, 775, 787, 793, 811, 827, 839, 844, 855, 863, 876, 882, 898, 918, 923, 935, 942, 957, 966, 971, 984, 999]"
2,9x9,0,3.7846009731292725,0,2,11,"[112, 125, 133, 148, 156, 167, 179, 184, 191, 219, 226, 237, 243, 251, 264, 278, 285, 292, 314, 321, 338, 345, 352, 369, 373, 386, 397, 413, 429, 432, 446, 457, 465, 471, 488, 494, 517, 524, 536, 549, 558, 561, 572, 583, 595, 611, 628, 635, 642, 654, 663, 677, 689, 696, 716, 722, 734, 741, 759, 768, 775, 787, 793, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 923, 931, 947, 955, 966, 974, 982, 999]"
3,9x9,0,4.336336612701416,0,6,35,"[112, 125, 133, 148, 156, 167, 179, 184, 191, 219, 226, 237, 243, 251, 264, 278, 285, 292, 314, 321, 338, 349, 352, 365, 373, 386, 397, 417, 429, 431, 446, 453, 462, 475, 488, 494, 515, 524, 536, 547, 558, 561, 572, 583, 599, 613, 628, 632, 645, 654, 669, 677, 681, 696, 716, 722, 735, 741, 759, 768, 774, 787, 793, 811, 827, 839, 844, 855, 863, 876, 882, 898, 918, 923, 934, 942, 957, 966, 971, 989, 995]"
4,9x9,0,3.36910080909729,0,1,11,"[112, 125, 138, 143, 156, 167, 179, 184, 191, 213, 226, 237, 249, 251, 264, 278, 285, 292, 319, 321, 334, 348, 352, 365, 373, 386, 397, 414, 423, 432, 446, 457, 469, 471, 488, 495, 517, 529, 536, 545, 558, 561, 572, 583, 594, 611, 628, 635, 642, 654, 663, 677, 689, 696, 716, 722, 733, 741, 755, 768, 774, 787, 799, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 924, 931, 947, 959, 966, 975, 982, 993]"
5,9x9,0,3.5877912044525146,0,4,23,"[112, 125, 133, 148, 156, 167, 174, 189, 191, 217, 229, 236, 243, 251, 264, 278, 285, 292, 314, 321, 338, 345, 352, 369, 373, 386, 397, 413, 424, 432, 446, 457, 465, 471, 488, 499, 519, 526, 537, 542, 558, 561, 575, 583, 594, 611, 628, 635, 649, 654, 663, 677, 682, 696, 716, 722, 734, 741, 755, 768, 779, 787, 793, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 923, 931, 947, 959, 966, 972, 984, 995]"
6,9x9,0,3.318660020828247,0,1,9,"[112, 125, 133, 148, 156, 167, 179, 184, 191, 219, 226, 237, 243, 251, 264, 278, 285, 292, 314, 321, 338, 349, 352, 365, 373, 386, 397, 417, 424, 432, 446, 453, 469, 471, 488, 495, 515, 529, 536, 547, 558, 561, 572, 583, 594, 613, 628, 631, 645, 654, 662, 677, 689, 696, 716, 722, 734, 741, 759, 768, 775, 787, 793, 811, 827, 839, 844, 855, 863, 876, 882, 898, 918, 923, 935, 942, 957, 966, 974, 981, 999]"
7,9x9,0,3.3370912075042725,0,2,13,"[112, 125, 138, 143, 156, 167, 179, 184, 191, 213, 226, 237, 249, 251, 264, 278, 285, 292, 319, 321, 334, 348, 352, 365, 373, 386, 397, 414, 423, 432, 446, 457, 469, 471, 488, 495, 517, 529, 536, 545, 558, 561, 572, 583, 594, 611, 628, 635, 642, 654, 663, 677, 689, 696, 716, 722, 733, 741, 755, 768, 774, 787, 799, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 924, 931, 947, 959, 966, 975, 982, 993]"
8,9x9,0,3.7919745445251465,0,5,27,"[112, 125, 133, 148, 156, 167, 179, 184, 191, 217, 229, 236, 243, 251, 264, 278, 285, 292, 314, 321, 338, 345, 352, 369, 373, 386, 397, 413, 424, 432, 446, 457, 465, 471, 488, 499, 519, 526, 537, 542, 558, 561, 574, 583, 595, 611, 628, 635, 649, 654, 663, 677, 682, 696, 716, 722, 734, 741, 759, 768, 775, 787, 793, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 923, 931, 947, 955, 966, 972, 989, 994]"
9,9x9,0,3.527981758117676,0,1,15,"[112, 125, 133, 148, 156, 167, 179, 184, 191, 219, 226, 237, 243, 251, 264, 278, 285, 292, 314, 321, 338, 345, 352, 369, 373, 386, 397, 417, 424, 431, 446, 453, 462, 475, 488, 499, 515, 529, 536, 547, 558, 561, 572, 583, 594, 613, 628, 632, 649, 654, 665, 677, 681, 696, 716, 722, 735, 741, 759, 768, 774, 787, 793, 811, 827, 839, 844, 855, 863, 876, 882, 898, 918, 923, 934, 942, 957, 966, 971, 989, 995]"
