,type,heuristic,runtime,number of splits,number of backtracks,number of simplifications,solution
0,4x4,human,0.011747598648071289,0,0,1,"[132, 143, 413, 422, 431, 311, 444, 324, 333, 212, 342, 223, 234, 241, 114, 121]"
1,4x4,human,0.010514497756958008,0,0,1,"[133, 144, 414, 421, 432, 312, 443, 323, 334, 213, 341, 224, 231, 111, 242, 122]"
2,4x4,human,0.009512901306152344,0,0,1,"[133, 144, 411, 423, 434, 314, 442, 322, 331, 213, 343, 224, 232, 112, 241, 121]"
3,4x4,human,0.010475873947143555,0,0,1,"[131, 143, 413, 424, 432, 312, 441, 321, 333, 211, 344, 223, 234, 114, 242, 122]"
4,4x4,human,0.009511232376098633,0,0,1,"[132, 143, 412, 423, 434, 311, 441, 324, 333, 213, 342, 222, 231, 114, 244, 121]"
5,4x4,human,0.009068727493286133,0,0,1,"[133, 141, 411, 423, 432, 314, 444, 322, 331, 213, 343, 221, 234, 112, 242, 124]"
6,4x4,human,0.009512186050415039,0,0,1,"[132, 144, 414, 421, 433, 313, 442, 322, 334, 212, 341, 224, 231, 111, 243, 123]"
7,4x4,human,0.009515762329101562,0,0,1,"[132, 143, 413, 421, 434, 314, 442, 322, 333, 212, 341, 223, 231, 111, 244, 124]"
8,4x4,human,0.010059595108032227,0,0,1,"[133, 144, 411, 422, 434, 314, 443, 323, 332, 213, 341, 224, 231, 112, 242, 121]"
9,4x4,human,0.009512662887573242,0,0,1,"[131, 143, 414, 422, 433, 311, 441, 323, 334, 213, 342, 221, 232, 112, 244, 124]"
10,4x4,human,0.009022235870361328,0,0,1,"[131, 144, 411, 424, 433, 312, 442, 323, 334, 341, 214, 221, 232, 113, 243, 122]"
11,4x4,human,0.010520219802856445,0,0,1,"[134, 142, 414, 422, 433, 311, 441, 323, 332, 212, 344, 224, 231, 113, 243, 121]"
12,4x4,human,0.014514684677124023,2,0,5,"[131, 143, 413, 421, 434, 312, 442, 324, 333, 211, 341, 223, 232, 114, 244, 122]"
13,4x4,human,0.009514570236206055,0,0,1,"[131, 144, 411, 424, 433, 312, 442, 323, 334, 341, 214, 221, 232, 113, 243, 122]"
14,4x4,human,0.009514570236206055,0,0,1,"[133, 142, 412, 423, 434, 311, 441, 324, 332, 213, 343, 222, 231, 114, 244, 121]"
15,4x4,human,0.010512113571166992,0,0,1,"[132, 143, 414, 423, 431, 312, 442, 321, 333, 213, 344, 222, 234, 111, 241, 124]"
16,4x4,human,0.008516073226928711,0,0,1,"[131, 144, 412, 423, 434, 314, 441, 321, 332, 211, 343, 224, 233, 113, 242, 122]"
17,4x4,human,0.012516260147094727,2,0,5,"[131, 142, 412, 421, 434, 313, 443, 324, 332, 211, 341, 222, 233, 114, 244, 123]"
18,4x4,human,0.010521888732910156,1,0,3,"[134, 141, 414, 422, 431, 313, 443, 321, 332, 211, 344, 224, 233, 112, 242, 123]"
19,4x4,human,0.010020971298217773,0,0,1,"[134, 143, 411, 422, 433, 313, 444, 324, 331, 214, 342, 223, 232, 112, 241, 121]"
20,4x4,human,0.010220527648925781,0,0,1,"[131, 144, 412, 423, 434, 314, 441, 321, 332, 211, 343, 224, 233, 113, 242, 122]"
21,4x4,human,0.009517431259155273,0,0,1,"[131, 142, 413, 421, 432, 312, 444, 324, 333, 211, 341, 222, 234, 114, 243, 123]"
22,4x4,human,0.009518861770629883,0,0,1,"[131, 143, 413, 422, 434, 314, 441, 321, 333, 211, 342, 223, 232, 112, 244, 124]"
23,4x4,human,0.009511947631835938,1,0,3,"[131, 143, 413, 421, 432, 312, 444, 324, 333, 211, 341, 223, 234, 114, 242, 122]"
