,type,heuristic,runtime,number of splits,number of backtracks,number of simplifications,solution
0,4x4,mom,0.010520696640014648,0,0,1,"[132, 143, 413, 422, 431, 311, 444, 324, 333, 212, 342, 223, 234, 241, 114, 121]"
1,4x4,mom,0.011521100997924805,0,0,1,"[133, 144, 414, 421, 432, 312, 443, 323, 334, 213, 341, 224, 231, 111, 242, 122]"
2,4x4,mom,0.010030031204223633,0,0,1,"[133, 144, 411, 423, 434, 314, 442, 322, 331, 213, 343, 224, 232, 112, 241, 121]"
3,4x4,mom,0.010100364685058594,0,0,1,"[131, 143, 413, 424, 432, 312, 441, 321, 333, 211, 344, 223, 234, 114, 242, 122]"
4,4x4,mom,0.013515949249267578,0,0,1,"[132, 143, 412, 423, 434, 311, 441, 324, 333, 213, 342, 222, 231, 114, 244, 121]"
5,4x4,mom,0.012513875961303711,0,0,1,"[133, 141, 411, 423, 432, 314, 444, 322, 331, 213, 343, 221, 234, 112, 242, 124]"
6,4x4,mom,0.010585784912109375,0,0,1,"[132, 144, 414, 421, 433, 313, 442, 322, 334, 212, 341, 224, 231, 111, 243, 123]"
7,4x4,mom,0.009006261825561523,0,0,1,"[132, 143, 413, 421, 434, 314, 442, 322, 333, 212, 341, 223, 231, 111, 244, 124]"
8,4x4,mom,0.009410619735717773,0,0,1,"[133, 144, 411, 422, 434, 314, 443, 323, 332, 213, 341, 224, 231, 112, 242, 121]"
9,4x4,mom,0.00951528549194336,0,0,1,"[131, 143, 414, 422, 433, 311, 441, 323, 334, 213, 342, 221, 232, 112, 244, 124]"
10,4x4,mom,0.00951838493347168,0,0,1,"[131, 144, 411, 424, 433, 312, 442, 323, 334, 341, 214, 221, 232, 113, 243, 122]"
11,4x4,mom,0.010661840438842773,0,0,1,"[134, 142, 414, 422, 433, 311, 441, 323, 332, 212, 344, 224, 231, 113, 243, 121]"
12,4x4,mom,0.014610052108764648,4,0,9,"[131, 143, 411, 423, 434, 312, 442, 324, 333, 213, 341, 221, 232, 114, 244, 122]"
13,4x4,mom,0.009510517120361328,0,0,1,"[131, 144, 411, 424, 433, 312, 442, 323, 334, 341, 214, 221, 232, 113, 243, 122]"
14,4x4,mom,0.010308265686035156,0,0,1,"[133, 142, 412, 423, 434, 311, 441, 324, 332, 213, 343, 222, 231, 114, 244, 121]"
15,4x4,mom,0.009510993957519531,0,0,1,"[132, 143, 414, 423, 431, 312, 442, 321, 333, 213, 344, 222, 234, 111, 241, 124]"
16,4x4,mom,0.008507966995239258,0,0,1,"[131, 144, 412, 423, 434, 314, 441, 321, 332, 211, 343, 224, 233, 113, 242, 122]"
17,4x4,mom,0.012517213821411133,3,0,7,"[131, 142, 411, 422, 434, 313, 443, 324, 332, 212, 341, 221, 233, 114, 244, 123]"
18,4x4,mom,0.012140274047851562,4,0,9,"[134, 141, 413, 422, 431, 311, 444, 324, 332, 214, 343, 221, 233, 112, 242, 123]"
19,4x4,mom,0.00951695442199707,0,0,1,"[134, 143, 411, 422, 433, 313, 444, 324, 331, 214, 342, 223, 232, 112, 241, 121]"
20,4x4,mom,0.009508609771728516,0,0,1,"[131, 144, 412, 423, 434, 314, 441, 321, 332, 211, 343, 224, 233, 113, 242, 122]"
21,4x4,mom,0.009022951126098633,0,0,1,"[131, 142, 413, 421, 432, 312, 444, 324, 333, 211, 341, 222, 234, 114, 243, 123]"
22,4x4,mom,0.00910043716430664,0,0,1,"[131, 143, 413, 422, 434, 314, 441, 321, 333, 211, 342, 223, 232, 112, 244, 124]"
23,4x4,mom,0.0100860595703125,1,0,3,"[131, 143, 413, 421, 432, 312, 444, 324, 333, 211, 341, 223, 234, 114, 242, 122]"
24,4x4,mom,0.010522603988647461,0,0,1,"[133, 142, 412, 423, 434, 314, 441, 321, 332, 213, 343, 222, 231, 111, 244, 124]"
25,4x4,mom,0.009068727493286133,0,0,1,"[134, 142, 414, 422, 431, 311, 443, 323, 332, 212, 344, 224, 233, 241, 113, 121]"
26,4x4,mom,0.009093046188354492,0,0,1,"[134, 141, 411, 422, 433, 313, 444, 324, 331, 342, 214, 221, 232, 112, 243, 123]"
27,4x4,mom,0.009510278701782227,0,0,1,"[132, 141, 412, 424, 431, 313, 443, 321, 334, 211, 342, 222, 233, 114, 244, 123]"
28,4x4,mom,0.010517120361328125,2,0,5,"[131, 144, 411, 424, 432, 313, 443, 322, 334, 214, 341, 221, 233, 112, 242, 123]"
29,4x4,mom,0.011058568954467773,0,0,1,"[134, 141, 413, 422, 431, 314, 444, 321, 332, 211, 343, 224, 233, 112, 242, 123]"
30,4x4,mom,0.009275436401367188,0,0,1,"[133, 141, 412, 421, 434, 313, 443, 324, 331, 211, 342, 223, 232, 114, 244, 122]"
31,4x4,mom,0.010677576065063477,0,0,1,"[132, 144, 412, 424, 433, 311, 441, 323, 334, 214, 342, 222, 231, 113, 243, 121]"
32,4x4,mom,0.010050535202026367,0,0,1,"[131, 143, 413, 421, 432, 312, 444, 324, 333, 211, 341, 223, 234, 242, 114, 122]"
33,4x4,mom,0.009192705154418945,0,0,1,"[132, 144, 413, 421, 434, 312, 442, 324, 333, 214, 341, 222, 231, 111, 243, 123]"
34,4x4,mom,0.009511470794677734,0,0,1,"[132, 143, 411, 424, 433, 313, 442, 322, 334, 212, 341, 223, 231, 114, 244, 121]"
35,4x4,mom,0.010511159896850586,0,0,1,"[133, 144, 413, 421, 434, 312, 442, 324, 331, 214, 343, 223, 232, 111, 241, 122]"
36,4x4,mom,0.009510993957519531,0,0,1,"[132, 143, 413, 422, 431, 314, 444, 321, 333, 212, 342, 223, 234, 111, 241, 124]"
37,4x4,mom,0.00850820541381836,0,0,1,"[131, 143, 412, 424, 433, 313, 441, 321, 332, 211, 344, 223, 234, 114, 242, 122]"
38,4x4,mom,0.010518312454223633,1,0,3,"[132, 143, 411, 422, 433, 313, 444, 324, 331, 212, 342, 223, 234, 114, 241, 121]"
39,4x4,mom,0.009509086608886719,0,0,1,"[131, 144, 414, 421, 432, 312, 443, 323, 334, 211, 341, 224, 233, 113, 242, 122]"
40,4x4,mom,0.009513378143310547,0,0,1,"[134, 143, 411, 422, 433, 313, 444, 324, 331, 214, 342, 223, 232, 112, 241, 121]"
41,4x4,mom,0.01102900505065918,1,0,3,"[131, 144, 412, 421, 434, 314, 443, 323, 332, 211, 341, 224, 233, 113, 242, 122]"
42,4x4,mom,0.009509563446044922,0,0,1,"[133, 144, 411, 422, 434, 314, 443, 323, 332, 213, 341, 224, 231, 112, 242, 121]"
43,4x4,mom,0.00951385498046875,0,0,1,"[133, 141, 411, 423, 434, 314, 442, 322, 331, 213, 343, 221, 232, 112, 244, 124]"
44,4x4,mom,0.010516643524169922,0,0,1,"[134, 142, 413, 421, 432, 314, 444, 322, 333, 212, 341, 224, 231, 111, 243, 123]"
45,4x4,mom,0.009514331817626953,0,0,1,"[131, 144, 411, 424, 433, 313, 442, 322, 334, 341, 214, 221, 232, 112, 243, 123]"
46,4x4,mom,0.010009527206420898,1,0,3,"[131, 143, 412, 424, 433, 313, 441, 321, 334, 211, 342, 223, 232, 114, 244, 122]"
47,4x4,mom,0.008515357971191406,0,0,1,"[132, 141, 412, 421, 434, 314, 443, 323, 331, 211, 342, 222, 233, 113, 244, 124]"
48,4x4,mom,0.010513544082641602,0,0,1,"[133, 144, 413, 424, 431, 312, 442, 321, 334, 214, 343, 223, 232, 111, 241, 122]"
49,4x4,mom,0.009520292282104492,0,0,1,"[131, 142, 413, 422, 434, 311, 441, 324, 332, 212, 343, 221, 233, 114, 244, 123]"
50,4x4,mom,0.01051640510559082,0,0,1,"[133, 144, 412, 421, 434, 314, 443, 323, 332, 213, 341, 224, 231, 111, 242, 122]"
51,4x4,mom,0.01003122329711914,0,0,1,"[134, 143, 414, 421, 433, 312, 442, 323, 331, 213, 344, 224, 232, 111, 241, 122]"
52,4x4,mom,0.009516000747680664,0,0,1,"[131, 143, 412, 424, 433, 311, 441, 323, 334, 213, 342, 221, 232, 114, 244, 122]"
53,4x4,mom,0.010009288787841797,0,0,1,"[132, 141, 414, 423, 431, 311, 442, 322, 333, 212, 344, 221, 234, 113, 243, 124]"
54,4x4,mom,0.008514404296875,0,0,1,"[132, 143, 413, 422, 431, 311, 444, 324, 333, 212, 342, 223, 234, 114, 241, 121]"
55,4x4,mom,0.013024568557739258,3,0,7,"[131, 144, 414, 421, 433, 313, 442, 322, 334, 211, 341, 224, 232, 112, 243, 123]"
56,4x4,mom,0.010525941848754883,0,0,1,"[132, 141, 414, 423, 431, 311, 442, 322, 334, 212, 343, 221, 233, 113, 244, 124]"
57,4x4,mom,0.011062860488891602,0,0,1,"[131, 142, 412, 421, 433, 313, 444, 324, 332, 211, 341, 222, 234, 114, 243, 123]"
58,4x4,mom,0.009514331817626953,0,0,1,"[134, 143, 413, 424, 432, 311, 441, 322, 333, 214, 344, 223, 231, 112, 242, 121]"
59,4x4,mom,0.009507417678833008,0,0,1,"[133, 141, 411, 423, 432, 312, 444, 324, 331, 213, 343, 221, 234, 114, 242, 122]"
60,4x4,mom,0.00850677490234375,0,0,1,"[134, 142, 413, 421, 432, 312, 444, 324, 331, 214, 343, 222, 233, 111, 241, 123]"
61,4x4,mom,0.011028051376342773,0,0,1,"[131, 144, 414, 421, 433, 313, 442, 322, 334, 211, 341, 224, 232, 112, 243, 123]"
62,4x4,mom,0.013518333435058594,4,0,9,"[133, 144, 413, 424, 431, 312, 442, 321, 334, 214, 343, 223, 232, 111, 241, 122]"
63,4x4,mom,0.009510993957519531,0,0,1,"[132, 143, 411, 423, 434, 312, 442, 324, 333, 341, 213, 222, 231, 114, 244, 121]"
64,4x4,mom,0.009511470794677734,0,0,1,"[133, 142, 411, 424, 432, 312, 443, 323, 331, 213, 344, 222, 234, 114, 241, 121]"
65,4x4,mom,0.013513326644897461,4,0,9,"[132, 144, 412, 424, 431, 313, 443, 321, 334, 342, 214, 222, 233, 111, 241, 123]"
66,4x4,mom,0.009524345397949219,0,0,1,"[133, 144, 414, 423, 432, 312, 441, 321, 334, 213, 343, 224, 231, 111, 242, 122]"
67,4x4,mom,0.010514259338378906,1,0,3,"[131, 142, 411, 422, 433, 313, 444, 324, 332, 212, 341, 221, 234, 114, 243, 123]"
68,4x4,mom,0.009515047073364258,0,0,1,"[132, 141, 413, 424, 431, 312, 442, 321, 333, 211, 344, 222, 234, 114, 243, 123]"
69,4x4,mom,0.010514497756958008,0,0,1,"[134, 141, 413, 422, 431, 314, 444, 321, 332, 211, 343, 224, 233, 112, 242, 123]"
70,4x4,mom,0.01002955436706543,0,0,1,"[133, 142, 412, 423, 431, 314, 444, 321, 332, 213, 343, 222, 234, 111, 241, 124]"
71,4x4,mom,0.016025066375732422,4,0,9,"[132, 141, 414, 423, 431, 311, 442, 322, 334, 212, 343, 221, 233, 113, 244, 124]"
72,4x4,mom,0.00951075553894043,0,0,1,"[131, 143, 412, 423, 434, 311, 441, 324, 333, 213, 342, 221, 232, 114, 244, 122]"
73,4x4,mom,0.009512186050415039,0,0,1,"[131, 143, 412, 421, 433, 313, 444, 324, 332, 211, 341, 223, 234, 242, 114, 122]"
74,4x4,mom,0.009511470794677734,0,0,1,"[132, 144, 411, 423, 434, 312, 442, 324, 333, 341, 214, 222, 231, 113, 243, 121]"
75,4x4,mom,0.010511636734008789,0,0,1,"[133, 142, 412, 424, 431, 311, 443, 323, 332, 213, 344, 222, 234, 114, 241, 121]"
76,4x4,mom,0.00851130485534668,0,0,1,"[131, 142, 414, 421, 432, 312, 443, 323, 334, 211, 341, 222, 233, 113, 244, 124]"
77,4x4,mom,0.009510993957519531,0,0,1,"[133, 141, 411, 423, 434, 314, 442, 322, 331, 213, 343, 221, 232, 112, 244, 124]"
78,4x4,mom,0.009510993957519531,0,0,1,"[131, 143, 411, 424, 433, 312, 442, 323, 334, 213, 341, 221, 232, 114, 244, 122]"
79,4x4,mom,0.00951075553894043,0,0,1,"[134, 143, 413, 424, 432, 311, 441, 322, 333, 214, 344, 223, 231, 112, 242, 121]"
80,4x4,mom,0.010020017623901367,0,0,1,"[133, 141, 413, 421, 434, 314, 442, 322, 331, 211, 343, 223, 232, 112, 244, 124]"
81,4x4,mom,0.012519598007202148,3,0,7,"[131, 142, 413, 424, 432, 312, 441, 321, 333, 211, 344, 222, 234, 114, 243, 123]"
82,4x4,mom,0.011514663696289062,1,0,3,"[133, 142, 414, 421, 432, 312, 443, 323, 334, 213, 341, 222, 231, 111, 244, 124]"
83,4x4,mom,0.010508537292480469,0,0,1,"[134, 142, 413, 421, 432, 312, 444, 324, 333, 341, 214, 222, 231, 111, 243, 123]"
84,4x4,mom,0.009517431259155273,0,0,1,"[134, 141, 413, 422, 431, 311, 444, 324, 332, 214, 343, 221, 233, 112, 242, 123]"
85,4x4,mom,0.009516239166259766,0,0,1,"[131, 143, 411, 423, 434, 314, 442, 322, 333, 341, 213, 221, 232, 112, 244, 124]"
86,4x4,mom,0.017017841339111328,4,0,9,"[132, 144, 413, 424, 431, 312, 442, 321, 334, 214, 343, 222, 233, 111, 241, 123]"
87,4x4,mom,0.010515451431274414,1,0,3,"[131, 144, 412, 423, 434, 311, 441, 324, 332, 214, 343, 221, 233, 113, 242, 122]"
88,4x4,mom,0.01052236557006836,1,0,3,"[132, 144, 414, 422, 431, 313, 443, 321, 334, 212, 342, 224, 233, 111, 241, 123]"
89,4x4,mom,0.010019302368164062,1,0,3,"[131, 142, 414, 423, 432, 312, 441, 321, 333, 211, 344, 222, 234, 113, 243, 124]"
90,4x4,mom,0.010510683059692383,1,0,3,"[131, 144, 411, 424, 432, 313, 443, 322, 334, 214, 341, 221, 233, 112, 242, 123]"
91,4x4,mom,0.009511709213256836,0,0,1,"[134, 142, 411, 423, 432, 314, 444, 322, 331, 212, 343, 224, 233, 113, 241, 121]"
92,4x4,mom,0.010513067245483398,2,0,5,"[132, 141, 412, 421, 433, 313, 444, 324, 331, 211, 342, 222, 234, 114, 243, 123]"
93,4x4,mom,0.009510040283203125,0,0,1,"[133, 142, 414, 423, 432, 312, 441, 321, 334, 213, 343, 222, 231, 111, 244, 124]"
94,4x4,mom,0.00950765609741211,0,0,1,"[133, 144, 411, 422, 434, 313, 443, 324, 331, 214, 342, 223, 232, 112, 241, 121]"
95,4x4,mom,0.009512662887573242,0,0,1,"[133, 144, 413, 424, 432, 311, 441, 322, 334, 214, 343, 223, 231, 112, 242, 121]"
96,4x4,mom,0.011515617370605469,3,0,7,"[131, 144, 414, 421, 432, 312, 443, 323, 334, 211, 341, 224, 233, 113, 242, 122]"
97,4x4,mom,0.010510921478271484,0,0,1,"[134, 141, 412, 423, 431, 311, 444, 324, 332, 214, 343, 221, 233, 113, 242, 122]"
98,4x4,mom,0.008507490158081055,0,0,1,"[132, 144, 414, 422, 431, 311, 443, 323, 334, 212, 342, 224, 233, 241, 113, 121]"
99,4x4,mom,0.009514808654785156,0,0,1,"[133, 144, 413, 424, 431, 312, 442, 321, 334, 214, 343, 223, 232, 111, 241, 122]"
100,4x4,mom,0.009511232376098633,0,0,1,"[133, 144, 411, 422, 434, 314, 443, 323, 331, 213, 342, 224, 232, 112, 241, 121]"
101,4x4,mom,0.009511470794677734,0,0,1,"[131, 144, 411, 423, 434, 312, 442, 324, 333, 214, 341, 221, 232, 113, 243, 122]"
102,4x4,mom,0.009508132934570312,0,0,1,"[134, 142, 414, 422, 433, 313, 441, 321, 332, 212, 344, 224, 231, 111, 243, 123]"
103,4x4,mom,0.009516716003417969,0,0,1,"[133, 141, 413, 421, 432, 312, 444, 324, 331, 211, 343, 223, 234, 242, 114, 122]"
104,4x4,mom,0.009006977081298828,0,0,1,"[133, 142, 412, 423, 434, 314, 441, 321, 332, 213, 343, 222, 231, 111, 244, 124]"
105,4x4,mom,0.009111881256103516,0,0,1,"[134, 141, 412, 423, 431, 314, 444, 321, 332, 211, 343, 224, 233, 113, 242, 122]"
106,4x4,mom,0.009837150573730469,0,0,1,"[131, 142, 411, 422, 434, 313, 443, 324, 332, 212, 341, 221, 233, 114, 244, 123]"
107,4x4,mom,0.010772705078125,3,0,7,"[131, 143, 413, 421, 432, 312, 444, 324, 333, 211, 341, 223, 234, 114, 242, 122]"
108,4x4,mom,0.009540319442749023,0,0,1,"[132, 141, 412, 423, 431, 314, 444, 321, 333, 211, 342, 222, 234, 113, 243, 124]"
109,4x4,mom,0.009149551391601562,0,0,1,"[132, 141, 412, 423, 431, 314, 444, 321, 333, 211, 342, 222, 234, 113, 243, 124]"
110,4x4,mom,0.00956273078918457,0,0,1,"[131, 144, 413, 424, 432, 311, 441, 322, 334, 214, 343, 221, 233, 112, 242, 123]"
111,4x4,mom,0.009514093399047852,0,0,1,"[133, 144, 413, 424, 431, 311, 442, 322, 334, 214, 343, 223, 232, 112, 241, 121]"
112,4x4,mom,0.009509086608886719,1,0,3,"[132, 144, 411, 424, 433, 312, 442, 323, 334, 214, 341, 222, 231, 113, 243, 121]"
113,4x4,mom,0.010123252868652344,0,0,1,"[133, 141, 414, 422, 431, 311, 443, 323, 334, 213, 342, 221, 232, 112, 244, 124]"
114,4x4,mom,0.011509895324707031,3,0,7,"[133, 144, 411, 424, 432, 313, 443, 322, 334, 214, 341, 223, 231, 112, 242, 121]"
115,4x4,mom,0.012512683868408203,4,0,9,"[134, 141, 414, 421, 432, 312, 443, 323, 331, 211, 344, 224, 233, 113, 242, 122]"
116,4x4,mom,0.01005411148071289,0,0,1,"[131, 143, 412, 424, 433, 313, 441, 321, 332, 211, 344, 223, 234, 114, 242, 122]"
117,4x4,mom,0.008206844329833984,0,0,1,"[132, 143, 412, 423, 431, 314, 444, 321, 333, 213, 342, 222, 234, 111, 241, 124]"
118,4x4,mom,0.009008646011352539,0,0,1,"[134, 142, 412, 424, 431, 311, 443, 323, 332, 214, 344, 222, 233, 113, 241, 121]"
119,4x4,mom,0.009375333786010742,0,0,1,"[134, 141, 411, 424, 432, 312, 443, 323, 331, 214, 344, 221, 233, 113, 242, 122]"
120,4x4,mom,0.009618759155273438,0,0,1,"[133, 142, 413, 422, 434, 311, 441, 324, 332, 212, 343, 223, 231, 114, 244, 121]"
121,4x4,mom,0.009511947631835938,0,0,1,"[133, 141, 411, 423, 434, 312, 442, 324, 331, 213, 343, 221, 232, 114, 244, 122]"
122,4x4,mom,0.008513212203979492,0,0,1,"[134, 141, 414, 423, 431, 312, 442, 321, 333, 211, 344, 224, 232, 113, 243, 122]"
123,4x4,mom,0.009512901306152344,0,0,1,"[131, 142, 413, 421, 432, 312, 444, 324, 333, 211, 341, 222, 234, 114, 243, 123]"
124,4x4,mom,0.010514497756958008,2,0,5,"[133, 144, 412, 421, 434, 313, 443, 324, 331, 214, 342, 223, 232, 111, 241, 122]"
125,4x4,mom,0.010168790817260742,0,0,1,"[131, 143, 414, 422, 433, 311, 441, 323, 332, 213, 344, 221, 234, 112, 242, 124]"
126,4x4,mom,0.010049581527709961,0,0,1,"[134, 141, 414, 423, 431, 312, 442, 321, 333, 211, 344, 224, 232, 113, 243, 122]"
127,4x4,mom,0.01011514663696289,2,0,5,"[131, 142, 411, 424, 432, 313, 443, 322, 334, 212, 341, 221, 233, 114, 244, 123]"
128,4x4,mom,0.009514093399047852,0,0,1,"[132, 141, 413, 422, 431, 311, 444, 324, 333, 212, 342, 221, 234, 114, 243, 123]"
129,4x4,mom,0.009330987930297852,1,0,3,"[132, 144, 412, 424, 431, 313, 443, 321, 334, 214, 342, 222, 233, 111, 241, 123]"
130,4x4,mom,0.009672403335571289,0,0,1,"[133, 142, 413, 422, 431, 311, 444, 324, 332, 212, 343, 223, 234, 114, 241, 121]"
131,4x4,mom,0.009488582611083984,0,0,1,"[134, 141, 411, 424, 433, 312, 442, 323, 331, 214, 344, 221, 232, 113, 243, 122]"
132,4x4,mom,0.010130167007446289,0,0,1,"[134, 141, 412, 421, 433, 314, 444, 323, 331, 211, 342, 224, 232, 113, 243, 122]"
133,4x4,mom,0.011511802673339844,3,0,7,"[131, 142, 412, 421, 434, 314, 443, 323, 332, 211, 341, 222, 233, 113, 244, 124]"
134,4x4,mom,0.009358644485473633,0,0,1,"[132, 144, 414, 422, 433, 311, 441, 323, 334, 212, 342, 224, 231, 113, 243, 121]"
135,4x4,mom,0.009525299072265625,1,0,3,"[132, 143, 414, 421, 433, 312, 442, 323, 334, 213, 341, 222, 231, 111, 244, 124]"
136,4x4,mom,0.009476184844970703,0,0,1,"[134, 141, 412, 424, 431, 311, 443, 323, 332, 214, 344, 221, 233, 113, 242, 122]"
137,4x4,mom,0.009167909622192383,0,0,1,"[134, 141, 411, 424, 433, 313, 442, 322, 331, 214, 344, 221, 232, 112, 243, 123]"
138,4x4,mom,0.008510112762451172,0,0,1,"[133, 142, 411, 424, 432, 312, 443, 323, 331, 213, 344, 222, 234, 114, 241, 121]"
139,4x4,mom,0.009321928024291992,0,0,1,"[134, 142, 412, 423, 431, 311, 444, 324, 332, 214, 343, 222, 233, 113, 241, 121]"
140,4x4,mom,0.010016441345214844,0,0,1,"[134, 143, 411, 423, 432, 314, 444, 322, 333, 341, 213, 224, 231, 112, 242, 121]"
141,4x4,mom,0.009000539779663086,0,0,1,"[134, 142, 413, 421, 432, 314, 444, 322, 331, 212, 343, 224, 233, 111, 241, 123]"
142,4x4,mom,0.009612321853637695,0,0,1,"[132, 144, 413, 421, 434, 312, 442, 324, 333, 341, 214, 222, 231, 111, 243, 123]"
