,type,heuristic,runtime,number of splits,number of backtracks,number of simplifications,solution
0,9x9_damn_hard,human,7.540319919586182,46,43,179,"[116, 124, 139, 141, 152, 163, 175, 188, 197, 218, 221, 233, 245, 259, 267, 274, 286, 292, 312, 327, 335, 346, 358, 364, 371, 389, 393, 411, 423, 432, 448, 457, 465, 476, 484, 499, 515, 529, 538, 542, 554, 566, 573, 587, 591, 617, 626, 634, 649, 653, 661, 672, 685, 698, 719, 725, 731, 743, 756, 768, 777, 782, 794, 814, 822, 836, 847, 851, 869, 878, 883, 895, 913, 928, 937, 944, 955, 962, 979, 981, 996]"
1,9x9_damn_hard,human,7.088083028793335,19,15,69,"[116, 127, 138, 149, 153, 162, 174, 181, 195, 215, 223, 231, 244, 258, 267, 276, 282, 299, 312, 329, 334, 346, 351, 365, 377, 383, 398, 413, 428, 436, 441, 457, 464, 479, 485, 492, 519, 522, 535, 543, 556, 568, 571, 587, 594, 614, 621, 637, 645, 652, 669, 678, 686, 693, 711, 724, 733, 748, 755, 766, 772, 789, 797, 817, 825, 839, 842, 854, 861, 873, 888, 896, 918, 926, 932, 947, 959, 963, 975, 984, 991]"
2,9x9_damn_hard,human,15.262378692626953,61,56,235,"[113, 124, 132, 146, 155, 167, 178, 189, 191, 217, 221, 238, 243, 254, 269, 275, 282, 296, 315, 326, 339, 348, 351, 362, 373, 384, 397, 419, 428, 431, 442, 457, 466, 474, 485, 493, 514, 525, 533, 541, 559, 568, 576, 587, 592, 612, 627, 636, 644, 653, 665, 679, 681, 698, 716, 729, 735, 747, 752, 763, 771, 788, 794, 811, 823, 837, 845, 858, 864, 872, 886, 899, 918, 922, 934, 949, 956, 961, 977, 983, 995]"
3,9x9_damn_hard,human,4.417601108551025,6,3,19,"[115, 121, 134, 147, 156, 168, 179, 182, 193, 212, 223, 236, 245, 259, 261, 278, 284, 297, 317, 329, 338, 344, 352, 363, 375, 381, 396, 416, 428, 435, 443, 457, 464, 472, 489, 491, 511, 524, 532, 549, 558, 566, 577, 583, 595, 619, 627, 633, 642, 651, 665, 674, 686, 698, 713, 725, 737, 741, 754, 762, 776, 788, 799, 818, 822, 839, 846, 853, 867, 871, 885, 894, 914, 926, 931, 948, 955, 969, 973, 987, 992]"
4,9x9_damn_hard,human,5.8210368156433105,25,19,89,"[115, 121, 138, 149, 152, 166, 177, 183, 194, 219, 226, 234, 243, 255, 267, 272, 288, 291, 312, 327, 333, 341, 354, 368, 376, 385, 399, 418, 425, 432, 444, 457, 461, 473, 489, 496, 516, 529, 537, 542, 553, 565, 571, 584, 598, 613, 624, 631, 648, 656, 669, 675, 682, 697, 714, 728, 736, 745, 751, 762, 779, 787, 793, 817, 822, 839, 846, 858, 863, 874, 881, 895, 911, 923, 935, 947, 959, 964, 978, 986, 992]"
5,9x9_damn_hard,human,6.708796739578247,21,17,77,"[111, 122, 135, 144, 153, 166, 177, 189, 198, 216, 223, 237, 248, 259, 261, 272, 284, 295, 319, 328, 334, 347, 352, 365, 371, 386, 393, 412, 421, 438, 445, 456, 467, 479, 483, 494, 514, 529, 536, 542, 558, 563, 575, 581, 597, 615, 627, 633, 649, 651, 664, 678, 682, 696, 713, 725, 739, 746, 757, 762, 774, 788, 791, 817, 826, 832, 841, 854, 868, 873, 885, 899, 918, 924, 931, 943, 955, 969, 976, 987, 992]"
6,9x9_damn_hard,human,8.651695251464844,22,20,85,"[111, 122, 134, 145, 153, 166, 177, 189, 198, 216, 228, 235, 247, 259, 261, 274, 282, 293, 319, 323, 337, 348, 354, 362, 371, 385, 396, 415, 421, 438, 444, 456, 467, 479, 483, 492, 514, 529, 536, 542, 558, 563, 575, 581, 597, 612, 627, 633, 649, 651, 665, 678, 686, 694, 713, 725, 739, 746, 757, 764, 772, 788, 791, 817, 826, 832, 841, 855, 868, 873, 884, 899, 918, 924, 931, 943, 952, 969, 976, 987, 995]"
7,9x9_damn_hard,human,3.669423818588257,8,5,27,"[114, 123, 132, 147, 151, 166, 178, 185, 199, 215, 229, 238, 244, 252, 263, 276, 287, 291, 317, 321, 336, 345, 359, 368, 373, 384, 392, 413, 425, 431, 446, 454, 469, 472, 488, 497, 518, 524, 539, 542, 553, 567, 571, 586, 595, 616, 622, 637, 648, 655, 661, 679, 683, 694, 719, 727, 734, 743, 758, 762, 775, 781, 796, 812, 828, 835, 841, 856, 864, 877, 889, 893, 911, 926, 933, 949, 957, 965, 974, 982, 998]"
8,9x9_damn_hard,human,3.2488245964050293,3,2,11,"[114, 123, 132, 147, 151, 166, 178, 189, 195, 218, 229, 235, 244, 252, 263, 276, 287, 291, 317, 321, 336, 345, 359, 368, 373, 384, 392, 413, 428, 431, 446, 454, 469, 472, 485, 497, 515, 524, 539, 542, 553, 567, 571, 586, 598, 616, 622, 637, 648, 655, 661, 679, 683, 694, 719, 727, 734, 743, 758, 762, 775, 781, 796, 812, 825, 833, 841, 856, 864, 877, 888, 899, 911, 926, 938, 949, 957, 965, 974, 982, 993]"
9,9x9_damn_hard,human,4.818033456802368,8,8,33,"[119, 124, 132, 141, 158, 166, 177, 185, 193, 211, 228, 235, 243, 257, 269, 274, 282, 296, 316, 327, 333, 344, 355, 362, 379, 381, 398, 417, 421, 438, 445, 459, 463, 476, 484, 492, 514, 525, 539, 546, 552, 568, 573, 587, 591, 613, 622, 636, 647, 651, 664, 678, 689, 695, 712, 729, 737, 748, 753, 761, 775, 786, 794, 815, 823, 834, 842, 856, 867, 871, 888, 899, 918, 926, 931, 949, 954, 965, 972, 983, 997]"
